Date,% GDP growth,% Price growth
2011-07-01,-0.11111465,2.32403511
2011-10-01,4.63713995,2.404667362
2012-01-01,3.131971062,1.926350606
2012-04-01,1.720806045,2.361285452
2012-07-01,0.539792838,-1.041943915
2012-10-01,0.455492983,5.333566648
2013-01-01,3.542700358,0.070800128
2013-04-01,0.493585898,0.203730161
2013-07-01,3.133660668,1.903389604
2013-10-01,3.192995753,1.320738514
2014-01-01,-1.007054337,2.87243922
2014-04-01,5.015493004,1.8967737
2014-07-01,4.835642498,1.728811696
2014-10-01,1.887402126,-0.064004042
2015-01-01,3.290860173,-4.398455234
2015-04-01,3.298455196,2.263707438
2015-07-01,0.960462847,3.09614041
2015-10-01,0.399637544,-0.38488527
2016-01-01,1.538683192,0.380208947
2016-04-01,2.262395358,1.433673684
2016-07-01,1.911625863,2.034809477
2016-10-01,1.750297416,2.681018754
2017-01-01,1.773215922,3.907856679
2017-04-01,2.958670545,0.096710214
2017-07-01,2.793930587,0.244175233
2017-10-01,2.271748616,3.843823187
2018-01-01,2.199436582,4.318221451
2018-04-01,4.095467776,1.232522217
